space,offset,size,field,value,reg,mask,bits_value,remark
,684,4,pwr_gain_base_11g,0xA0BB7C00,,,,
,688,4,pwr_gain_base_ble,0x20B94C00,,,,
,692,2,pwr_shift_in_srrc,0xFFFF,,,,bit-flag(with channel mask) to use shift_tab_b etc. in SRRC mode
,694,1,test_mode_temp_optimize,0x0,,,,flag to optimize analog even in FCC/SRRC mode
,695,1,test_mode_fir_11b,0x32,,,,FIR of 11B in FCC/SRRC mode
,696,1,test_mode_fir_11g,0x32,,,,FIR of 11G and 11N(MCS4~9) in FCC/SRRC mode
,697,1,test_mode_fir_11n,0x50,,,,FIR of 11N(MCS0~3) in FCC/SRRC mode
,698,1,ftpwr_cali_valid,0x0,,,,flag to use ftpwr as valid
,699,1,cali_per_temp_bias,0x14,,,,calibrate bias with temperature
,700,1,cali_per_temp_rxadc,0x1E,,,,calibrate rxADC with temperature
,701,1,flag_generic,0x1,,,,flag to use general setting
,702,98,reserved,0xff,,,,
tlv_base,800,8,name,tlv,,,,
,808,2,tlv_type,tlv_test1,,,,
,810,2,tlv_length,4,,,,
,812,4,tlv_value,0x12345678,,,,
,816,2,tlv_type,tlv_test2,,,,
,818,2,tlv_length,24,,,,
,820,12,tlv_value,,0x44010000,0xFF000000,0x3,
,832,12,tlv_value,,0x44010000,0x0000FF00,0x8,
,844,2,tlv_type,tlv_test3,,,,
,846,2,tlv_length,24,,,,
,848,12,tlv_value,-,0x44010000,0xFF000000,3,
,860,12,,-,0x44010000,0x0000FF00,8,
